(-9.99999e+06,1.02485,-600000)
(-9.99989e+06,13.9834,-600001)
(-9.99979e+06,31.7724,-600003)
(-9.99969e+06,54.2163,-600006)
(-9.9996e+06,81.0934,-600012)
(-9.9995e+06,112.139,-600020)
(-9.99941e+06,147.045,-600031)
(-9.99932e+06,185.469,-600046)
(-9.99923e+06,227.029,-600063)
(-9.99914e+06,271.316,-600085)
(-9.99905e+06,317.893,-600110)
(-9.99897e+06,366.298,-600140)
(-9.99889e+06,416.054,-600173)
(-9.99881e+06,466.67,-600211)
(-9.99874e+06,517.644,-600254)
(-9.99866e+06,568.472,-600300)
(-9.99859e+06,618.654,-600352)
(-9.99853e+06,667.692,-600407)
(-9.99846e+06,715.101,-600467)
(-9.9984e+06,760.413,-600530)
(-9.99834e+06,803.18,-600597)
(-9.99828e+06,842.978,-600668)
(-9.99822e+06,879.415,-600743)
(-9.99816e+06,912.129,-600820)
(-9.99811e+06,940.797,-600900)
(-9.99806e+06,965.135,-600982)
(-9.99801e+06,984.902,-601066)
(-9.99795e+06,999.902,-601151)
(-9.9979e+06,1009.99,-601238)
(-9.99786e+06,1015.06,-601325)
(-9.99781e+06,1015.06,-601412)
(-9.99776e+06,1010,-601500)
(-9.99771e+06,999.919,-601586)
(-9.99766e+06,984.923,-601672)
(-9.9976e+06,965.158,-601756)
(-9.99755e+06,940.818,-601838)
(-9.9975e+06,912.145,-601918)
(-9.99744e+06,879.421,-601995)
(-9.99739e+06,842.97,-602069)
(-9.99733e+06,803.152,-602140)
(-9.99727e+06,760.361,-602207)
(-9.9972e+06,715.02,-602271)
(-9.99714e+06,667.577,-602330)
(-9.99707e+06,618.501,-602386)
(-9.997e+06,568.278,-602437)
(-9.99692e+06,517.404,-602484)
(-9.99685e+06,466.382,-602526)
(-9.99677e+06,415.718,-602564)
(-9.99669e+06,365.912,-602598)
(-9.99661e+06,317.458,-602627)
(-9.99652e+06,270.834,-602652)
(-9.99643e+06,226.503,-602674)
